N,P,K,temperature,humidity,rainfall,crop
92,42,43,26.5,81,205,rice
88,39,41,25.8,84,198,rice
95,45,40,27.1,79,212,rice
90,44,42,26.2,83,220,rice
72,36,28,24.8,63,95,maize
68,34,26,23.9,60,88,maize
75,38,30,25.6,66,102,maize
70,35,29,24.4,62,90,maize
26,58,72,20.1,44,58,chickpea
30,62,78,19.3,48,64,chickpea
22,55,70,18.9,42,52,chickpea
28,60,75,21.0,46,68,chickpea
101,63,88,29.4,83,168,banana
96,60,84,28.8,80,156,banana
108,66,92,30.5,85,175,banana
99,64,86,29.7,82,162,banana
82,31,34,28.2,54,82,cotton
78,29,32,27.4,52,76,cotton
86,34,36,29.1,56,88,cotton
80,30,33,28.7,53,80,cotton
91,51,72,22.3,74,192,coffee
95,56,78,21.1,77,205,coffee
88,49,70,23.0,71,186,coffee
93,54,75,22.6,76,198,coffee
